name,rating,review,colour,date,title,rating_score,date_parsed,language,cleaned_text,tokens,token_count,sentences,sentence_count,tokens_no_stopwords,lemmatized_tokens,lemmatized_text
Rajesh devarapalli,3.0 out of 5 stars,"I have return this item, but still amount is not refunded",BLUE,4 October 2025,Not looking good,3.0,2025-10-04,en,"i have return this item, but still amount is not refunded","['i', 'have', 'return', 'this', 'item', ',', 'but', 'still', 'amount', 'is', 'not', 'refunded']",12,"['i have return this item, but still amount is not refunded']",1,"['return', 'item', ',', 'still', 'amount', 'refunded']","['return', 'item', ',', 'still', 'amount', 'refunded']","return item , still amount refunded"
Simrah,5.0 out of 5 stars,Very nice watchIf one is looking for a smartwatch this is the one I would recommend,Charcoal Black,27 October 2025,It’s quality is amazing,5.0,2025-10-27,en,very nice watchif one is looking for a smartwatch this is the one i would recommend,"['very', 'nice', 'watchif', 'one', 'is', 'looking', 'for', 'a', 'smartwatch', 'this', 'is', 'the', 'one', 'i', 'would', 'recommend']",16,['very nice watchif one is looking for a smartwatch this is the one i would recommend'],1,"['nice', 'watchif', 'one', 'looking', 'smartwatch', 'one', 'would', 'recommend']","['nice', 'watchif', 'one', 'looking', 'smartwatch', 'one', 'would', 'recommend']",nice watchif one looking smartwatch one would recommend
Prashant,4.0 out of 5 stars,Good in this price range,Teal_RoseGold,22 August 2025,Value for money,4.0,2025-08-22,en,good in this price range,"['good', 'in', 'this', 'price', 'range']",5,['good in this price range'],1,"['good', 'price', 'range']","['good', 'price', 'range']",good price range
s. iyappan,4.0 out of 5 stars,Good product my son like this product c,BLUE,19 August 2025,Good,4.0,2025-08-19,en,good product my son like this product c,"['good', 'product', 'my', 'son', 'like', 'this', 'product', 'c']",8,['good product my son like this product c'],1,"['good', 'product', 'son', 'like', 'product', 'c']","['good', 'product', 'son', 'like', 'product', 'c']",good product son like product c
KM GEORGE,5.0 out of 5 stars,"Nice watch . For those who are having small wrist ,small size ie 1.83'' like that can be purchased.",Charcoal Black,26 October 2025,Good digital watch.,5.0,2025-10-26,en,"nice watch . for those who are having small wrist ,small size ie 1.83 like that can be purchased.","['nice', 'watch', '.', 'for', 'those', 'who', 'are', 'having', 'small', 'wrist', ',', 'small', 'size', 'ie', '1.83', 'like', 'that', 'can', 'be', 'purchased', '.']",21,"['nice watch .', 'for those who are having small wrist ,small size ie 1.83 like that can be purchased.']",2,"['nice', 'watch', '.', 'small', 'wrist', ',', 'small', 'size', 'ie', '1.83', 'like', 'purchased', '.']","['nice', 'watch', '.', 'small', 'wrist', ',', 'small', 'size', 'ie', '1.83', 'like', 'purchased', '.']","nice watch . small wrist , small size ie 1.83 like purchased ."
Dileep,5.0 out of 5 stars,Very good product,Beige,6 November 2025,Good product,5.0,2025-11-06,en,very good product,"['very', 'good', 'product']",3,['very good product'],1,"['good', 'product']","['good', 'product']",good product
G shares,3.0 out of 5 stars,Decent product. Does its work.It doesn't feel premium neither cheap. Does exact for the price paid.I would recommend if its the maximum budget you have to buy a smart watch,Charcoal Black,17 September 2025,Average product for average price,3.0,2025-09-17,en,decent product. does its work.it doesnt feel premium neither cheap. does exact for the price paid.i would recommend if its the maximum budget you have to buy a smart watch,"['decent', 'product', '.', 'does', 'its', 'work.it', 'doesnt', 'feel', 'premium', 'neither', 'cheap', '.', 'does', 'exact', 'for', 'the', 'price', 'paid.i', 'would', 'recommend', 'if', 'its', 'the', 'maximum', 'budget', 'you', 'have', 'to', 'buy', 'a', 'smart', 'watch']",32,"['decent product.', 'does its work.it doesnt feel premium neither cheap.', 'does exact for the price paid.i would recommend if its the maximum budget you have to buy a smart watch']",3,"['decent', 'product', '.', 'work.it', 'doesnt', 'feel', 'premium', 'neither', 'cheap', '.', 'exact', 'price', 'paid.i', 'would', 'recommend', 'maximum', 'budget', 'buy', 'smart', 'watch']","['decent', 'product', '.', 'work.it', 'doesnt', 'feel', 'premium', 'neither', 'cheap', '.', 'exact', 'price', 'paid.i', 'would', 'recommend', 'maximum', 'budget', 'buy', 'smart', 'watch']",decent product . work.it doesnt feel premium neither cheap . exact price paid.i would recommend maximum budget buy smart watch
Nithya devi Natarajan,5.0 out of 5 stars,Nice fully satisfied,Black_Metal,5 November 2025,Good,5.0,2025-11-05,en,nice fully satisfied,"['nice', 'fully', 'satisfied']",3,['nice fully satisfied'],1,"['nice', 'fully', 'satisfied']","['nice', 'fully', 'satisfied']",nice fully satisfied
Kinnary Dwarkesh,4.0 out of 5 stars,"Connectivity is weak, gets disconnected easily. I purchased it to track swimming, which claimed as one of the sports mode, but it does not. Overall if you are look for style and basic fuctions then its nice.",Teal Green,31 July 2025,Good,4.0,2025-07-31,en,"connectivity is weak, gets disconnected easily. i purchased it to track swimming, which claimed as one of the sports mode, but it does not. overall if you are look for style and basic fuctions then its nice.","['connectivity', 'is', 'weak', ',', 'gets', 'disconnected', 'easily', '.', 'i', 'purchased', 'it', 'to', 'track', 'swimming', ',', 'which', 'claimed', 'as', 'one', 'of', 'the', 'sports', 'mode', ',', 'but', 'it', 'does', 'not', '.', 'overall', 'if', 'you', 'are', 'look', 'for', 'style', 'and', 'basic', 'fuctions', 'then', 'its', 'nice', '.']",43,"['connectivity is weak, gets disconnected easily.', 'i purchased it to track swimming, which claimed as one of the sports mode, but it does not.', 'overall if you are look for style and basic fuctions then its nice.']",3,"['connectivity', 'weak', ',', 'gets', 'disconnected', 'easily', '.', 'purchased', 'track', 'swimming', ',', 'claimed', 'one', 'sports', 'mode', ',', '.', 'overall', 'look', 'style', 'basic', 'fuctions', 'nice', '.']","['connectivity', 'weak', ',', 'get', 'disconnected', 'easily', '.', 'purchased', 'track', 'swimming', ',', 'claimed', 'one', 'sport', 'mode', ',', '.', 'overall', 'look', 'style', 'basic', 'fuctions', 'nice', '.']","connectivity weak , get disconnected easily . purchased track swimming , claimed one sport mode , . overall look style basic fuctions nice ."
Savita Sutar,5.0 out of 5 stars,Product is very good 👍👍👍,Blue,2 November 2025,Best,5.0,2025-11-02,en,product is very good,"['product', 'is', 'very', 'good']",4,['product is very good'],1,"['product', 'good']","['product', 'good']",product good
Krishnamurthy,4.0 out of 5 stars,"Not getting whatsapp or sms notification when paired with iphoneElse look wise am liking it alotWith such a nice old display, video player is missing feature in this.",Black_Metal,1 August 2025,Good watch with lot of scope for improvement,4.0,2025-08-01,en,"not getting whatsapp or sms notification when paired with iphoneelse look wise am liking it alotwith such a nice old display, video player is missing feature in this.","['not', 'getting', 'whatsapp', 'or', 'sms', 'notification', 'when', 'paired', 'with', 'iphoneelse', 'look', 'wise', 'am', 'liking', 'it', 'alotwith', 'such', 'a', 'nice', 'old', 'display', ',', 'video', 'player', 'is', 'missing', 'feature', 'in', 'this', '.']",30,"['not getting whatsapp or sms notification when paired with iphoneelse look wise am liking it alotwith such a nice old display, video player is missing feature in this.']",1,"['getting', 'whatsapp', 'sms', 'notification', 'paired', 'iphoneelse', 'look', 'wise', 'liking', 'alotwith', 'nice', 'old', 'display', ',', 'video', 'player', 'missing', 'feature', '.']","['getting', 'whatsapp', 'sm', 'notification', 'paired', 'iphoneelse', 'look', 'wise', 'liking', 'alotwith', 'nice', 'old', 'display', ',', 'video', 'player', 'missing', 'feature', '.']","getting whatsapp sm notification paired iphoneelse look wise liking alotwith nice old display , video player missing feature ."
Abhijot Dharwal,5.0 out of 5 stars,acha ha,Jet Black,4 November 2025,,5.0,2025-11-04,sw,acha ha,"['acha', 'ha']",2,['acha ha'],1,"['acha', 'ha']","['acha', 'ha']",acha ha
Shaikhasanuddin,5.0 out of 5 stars,Good product good quality good serves,Rose Gold Mesh,2 November 2025,Good amazon,5.0,2025-11-02,en,good product good quality good serves,"['good', 'product', 'good', 'quality', 'good', 'serves']",6,['good product good quality good serves'],1,"['good', 'product', 'good', 'quality', 'good', 'serves']","['good', 'product', 'good', 'quality', 'good', 'serf']",good product good quality good serf
Anbarasan,5.0 out of 5 stars,Worst it's not working after some days,Carbon Black,29 October 2025,Worst it's not working after some days,5.0,2025-10-29,en,worst its not working after some days,"['worst', 'its', 'not', 'working', 'after', 'some', 'days']",7,['worst its not working after some days'],1,"['worst', 'working', 'days']","['worst', 'working', 'day']",worst working day
Yesh,4.0 out of 5 stars,"Nice, value for money",Teal Green,19 August 2025,Nice,4.0,2025-08-19,en,"nice, value for money","['nice', ',', 'value', 'for', 'money']",5,"['nice, value for money']",1,"['nice', ',', 'value', 'money']","['nice', ',', 'value', 'money']","nice , value money"
Prasad shetty,3.0 out of 5 stars,Heart rate monitor stopped working after a week of purchase,Rose_Gold,23 September 2025,Sensor not working,3.0,2025-09-23,en,heart rate monitor stopped working after a week of purchase,"['heart', 'rate', 'monitor', 'stopped', 'working', 'after', 'a', 'week', 'of', 'purchase']",10,['heart rate monitor stopped working after a week of purchase'],1,"['heart', 'rate', 'monitor', 'stopped', 'working', 'week', 'purchase']","['heart', 'rate', 'monitor', 'stopped', 'working', 'week', 'purchase']",heart rate monitor stopped working week purchase
Md Mohin,5.0 out of 5 stars,Great product Love it,Dark Teal,30 October 2025,Fastrack revoltt fs1 pro vs fastrack revoltt fs2 pro was no difference fs2 is better,5.0,2025-10-30,en,great product love it,"['great', 'product', 'love', 'it']",4,['great product love it'],1,"['great', 'product', 'love']","['great', 'product', 'love']",great product love
Krishan murari,5.0 out of 5 stars,Nice watch,Silver Metal,31 October 2025,10,5.0,2025-10-31,en,nice watch,"['nice', 'watch']",2,['nice watch'],1,"['nice', 'watch']","['nice', 'watch']",nice watch
wajid,5.0 out of 5 stars,Awesome product 🥰,Black_Metal,30 October 2025,Special gift,5.0,2025-10-30,en,awesome product,"['awesome', 'product']",2,['awesome product'],1,"['awesome', 'product']","['awesome', 'product']",awesome product
KK Nair,5.0 out of 5 stars,Nice watch from Fastrack... My niece loves it.,Black_Metal,5 November 2025,Astor FR2 Pro,5.0,2025-11-05,en,nice watch from fastrack... my niece loves it.,"['nice', 'watch', 'from', 'fastrack', '...', 'my', 'niece', 'loves', 'it', '.']",10,['nice watch from fastrack... my niece loves it.'],1,"['nice', 'watch', 'fastrack', '...', 'niece', 'loves', '.']","['nice', 'watch', 'fastrack', '...', 'niece', 'love', '.']",nice watch fastrack ... niece love .
almas farheen,5.0 out of 5 stars,"Stylish , nice design",Black_Metal,27 October 2025,Fasttract never disappoint us one of the best product,5.0,2025-10-27,en,"stylish , nice design","['stylish', ',', 'nice', 'design']",4,"['stylish , nice design']",1,"['stylish', ',', 'nice', 'design']","['stylish', ',', 'nice', 'design']","stylish , nice design"
Tharakeswara,4.0 out of 5 stars,Nice and comfortable daily use,TEAL,6 August 2025,Fastrack,4.0,2025-08-06,en,nice and comfortable daily use,"['nice', 'and', 'comfortable', 'daily', 'use']",5,['nice and comfortable daily use'],1,"['nice', 'comfortable', 'daily', 'use']","['nice', 'comfortable', 'daily', 'use']",nice comfortable daily use
Rakesh L,5.0 out of 5 stars,Good. Value for money,Smoke,24 October 2025,Value for money,5.0,2025-10-24,en,good. value for money,"['good', '.', 'value', 'for', 'money']",5,"['good.', 'value for money']",2,"['good', '.', 'value', 'money']","['good', '.', 'value', 'money']",good . value money
Ishaan,5.0 out of 5 stars,Enjoying,Beige,26 October 2025,Satisfied,5.0,2025-10-26,no,enjoying,['enjoying'],1,['enjoying'],1,['enjoying'],['enjoying'],enjoying
Very nice phone case,5.0 out of 5 stars,Good watch,Smoke,25 October 2025,Good,5.0,2025-10-25,so,good watch,"['good', 'watch']",2,['good watch'],1,"['good', 'watch']","['good', 'watch']",good watch
shaurya   jain,4.0 out of 5 stars,Appealing designSuperb lookGreat feelOnly problem i faced was pairing the app and watch but it happened finally after 1-2 resets of the watch,Teal_RoseGold,19 July 2025,Amazing product,4.0,2025-07-19,en,appealing designsuperb lookgreat feelonly problem i faced was pairing the app and watch but it happened finally after 12 resets of the watch,"['appealing', 'designsuperb', 'lookgreat', 'feelonly', 'problem', 'i', 'faced', 'was', 'pairing', 'the', 'app', 'and', 'watch', 'but', 'it', 'happened', 'finally', 'after', '12', 'resets', 'of', 'the', 'watch']",23,['appealing designsuperb lookgreat feelonly problem i faced was pairing the app and watch but it happened finally after 12 resets of the watch'],1,"['appealing', 'designsuperb', 'lookgreat', 'feelonly', 'problem', 'faced', 'pairing', 'app', 'watch', 'happened', 'finally', '12', 'resets', 'watch']","['appealing', 'designsuperb', 'lookgreat', 'feelonly', 'problem', 'faced', 'pairing', 'app', 'watch', 'happened', 'finally', '12', 'reset', 'watch']",appealing designsuperb lookgreat feelonly problem faced pairing app watch happened finally 12 reset watch
Product Edges Not Perfect Fiting..Finishing Also Not Worth..,5.0 out of 5 stars,Worth,Carbon Black,24 October 2025,Value of money,5.0,2025-10-24,en,worth,['worth'],1,['worth'],1,['worth'],['worth'],worth
amrish kumar,4.0 out of 5 stars,Its a good watch in this price. Excellent design and very easy to use. I haven't faced any charging issues yet with this watch. Its touch quality is smooth too. Good one to buy in this price range.,Dark Teal,10 July 2025,Good watch,4.0,2025-07-10,en,its a good watch in this price. excellent design and very easy to use. i havent faced any charging issues yet with this watch. its touch quality is smooth too. good one to buy in this price range.,"['its', 'a', 'good', 'watch', 'in', 'this', 'price', '.', 'excellent', 'design', 'and', 'very', 'easy', 'to', 'use', '.', 'i', 'havent', 'faced', 'any', 'charging', 'issues', 'yet', 'with', 'this', 'watch', '.', 'its', 'touch', 'quality', 'is', 'smooth', 'too', '.', 'good', 'one', 'to', 'buy', 'in', 'this', 'price', 'range', '.']",43,"['its a good watch in this price.', 'excellent design and very easy to use.', 'i havent faced any charging issues yet with this watch.', 'its touch quality is smooth too.', 'good one to buy in this price range.']",5,"['good', 'watch', 'price', '.', 'excellent', 'design', 'easy', 'use', '.', 'havent', 'faced', 'charging', 'issues', 'yet', 'watch', '.', 'touch', 'quality', 'smooth', '.', 'good', 'one', 'buy', 'price', 'range', '.']","['good', 'watch', 'price', '.', 'excellent', 'design', 'easy', 'use', '.', 'havent', 'faced', 'charging', 'issue', 'yet', 'watch', '.', 'touch', 'quality', 'smooth', '.', 'good', 'one', 'buy', 'price', 'range', '.']",good watch price . excellent design easy use . havent faced charging issue yet watch . touch quality smooth . good one buy price range .
ambedkar pradhan,5.0 out of 5 stars,Excellent,Black Mesh,22 October 2025,Excellent,5.0,2025-10-22,ca,excellent,['excellent'],1,['excellent'],1,['excellent'],['excellent'],excellent
jitendra uchil,5.0 out of 5 stars,"As per my expectations,",Silver,29 October 2025,Good choice,5.0,2025-10-29,en,"as per my expectations,","['as', 'per', 'my', 'expectations', ',']",5,"['as per my expectations,']",1,"['per', 'expectations', ',']","['per', 'expectation', ',']","per expectation ,"
Suresh G,5.0 out of 5 stars,"Battery goodPower saving mode goodGPS not availableIn metal strap more waitIn packing to be add the Silicon StrapHeart rate, SpO2 not working properly",Black_Metal,9 October 2025,Product is good,5.0,2025-10-09,en,"battery goodpower saving mode goodgps not availablein metal strap more waitin packing to be add the silicon strapheart rate, spo2 not working properly","['battery', 'goodpower', 'saving', 'mode', 'goodgps', 'not', 'availablein', 'metal', 'strap', 'more', 'waitin', 'packing', 'to', 'be', 'add', 'the', 'silicon', 'strapheart', 'rate', ',', 'spo2', 'not', 'working', 'properly']",24,"['battery goodpower saving mode goodgps not availablein metal strap more waitin packing to be add the silicon strapheart rate, spo2 not working properly']",1,"['battery', 'goodpower', 'saving', 'mode', 'goodgps', 'availablein', 'metal', 'strap', 'waitin', 'packing', 'add', 'silicon', 'strapheart', 'rate', ',', 'spo2', 'working', 'properly']","['battery', 'goodpower', 'saving', 'mode', 'goodgps', 'availablein', 'metal', 'strap', 'waitin', 'packing', 'add', 'silicon', 'strapheart', 'rate', ',', 'spo2', 'working', 'properly']","battery goodpower saving mode goodgps availablein metal strap waitin packing add silicon strapheart rate , spo2 working properly"
vijay,4.0 out of 5 stars,Is watch don't have msg tracking like whats up and normal  msgs,Carbon Black,20 July 2025,Msgs,4.0,2025-07-20,en,is watch dont have msg tracking like whats up and normal msgs,"['is', 'watch', 'dont', 'have', 'msg', 'tracking', 'like', 'whats', 'up', 'and', 'normal', 'msgs']",12,['is watch dont have msg tracking like whats up and normal msgs'],1,"['watch', 'dont', 'msg', 'tracking', 'like', 'whats', 'normal', 'msgs']","['watch', 'dont', 'msg', 'tracking', 'like', 'whats', 'normal', 'msg']",watch dont msg tracking like whats normal msg
Manighandan007,5.0 out of 5 stars,"The silver design is sleek and the battery life is impressive. It offers the typical features of most smartwatches, including alarm, step tracking and goal-setting for walking. However, like all smartwatches, it’s not 100% accurate in step counting—it adds steps while traveling on metro, buses, or bikes. Overall, it does the job, has a solid build, and even survived in heavy rain.",Silver,21 September 2025,Great battery backup,5.0,2025-09-21,en,"the silver design is sleek and the battery life is impressive. it offers the typical features of most smartwatches, including alarm, step tracking and goalsetting for walking. however, like all smartwatches, its not 100 accurate in step countingit adds steps while traveling on metro, buses, or bikes. overall, it does the job, has a solid build, and even survived in heavy rain.","['the', 'silver', 'design', 'is', 'sleek', 'and', 'the', 'battery', 'life', 'is', 'impressive', '.', 'it', 'offers', 'the', 'typical', 'features', 'of', 'most', 'smartwatches', ',', 'including', 'alarm', ',', 'step', 'tracking', 'and', 'goalsetting', 'for', 'walking', '.', 'however', ',', 'like', 'all', 'smartwatches', ',', 'its', 'not', '100', 'accurate', 'in', 'step', 'countingit', 'adds', 'steps', 'while', 'traveling', 'on', 'metro', ',', 'buses', ',', 'or', 'bikes', '.', 'overall', ',', 'it', 'does', 'the', 'job', ',', 'has', 'a', 'solid', 'build', ',', 'and', 'even', 'survived', 'in', 'heavy', 'rain', '.']",75,"['the silver design is sleek and the battery life is impressive.', 'it offers the typical features of most smartwatches, including alarm, step tracking and goalsetting for walking.', 'however, like all smartwatches, its not 100 accurate in step countingit adds steps while traveling on metro, buses, or bikes.', 'overall, it does the job, has a solid build, and even survived in heavy rain.']",4,"['silver', 'design', 'sleek', 'battery', 'life', 'impressive', '.', 'offers', 'typical', 'features', 'smartwatches', ',', 'including', 'alarm', ',', 'step', 'tracking', 'goalsetting', 'walking', '.', 'however', ',', 'like', 'smartwatches', ',', '100', 'accurate', 'step', 'countingit', 'adds', 'steps', 'traveling', 'metro', ',', 'buses', ',', 'bikes', '.', 'overall', ',', 'job', ',', 'solid', 'build', ',', 'even', 'survived', 'heavy', 'rain', '.']","['silver', 'design', 'sleek', 'battery', 'life', 'impressive', '.', 'offer', 'typical', 'feature', 'smartwatches', ',', 'including', 'alarm', ',', 'step', 'tracking', 'goalsetting', 'walking', '.', 'however', ',', 'like', 'smartwatches', ',', '100', 'accurate', 'step', 'countingit', 'add', 'step', 'traveling', 'metro', ',', 'bus', ',', 'bike', '.', 'overall', ',', 'job', ',', 'solid', 'build', ',', 'even', 'survived', 'heavy', 'rain', '.']","silver design sleek battery life impressive . offer typical feature smartwatches , including alarm , step tracking goalsetting walking . however , like smartwatches , 100 accurate step countingit add step traveling metro , bus , bike . overall , job , solid build , even survived heavy rain ."
B.Narayana,4.0 out of 5 stars,Fine. But I wanted item with belt,Rose Gold Mesh,23 July 2025,Good,4.0,2025-07-23,en,fine. but i wanted item with belt,"['fine', '.', 'but', 'i', 'wanted', 'item', 'with', 'belt']",8,"['fine.', 'but i wanted item with belt']",2,"['fine', '.', 'wanted', 'item', 'belt']","['fine', '.', 'wanted', 'item', 'belt']",fine . wanted item belt
Saurabh Swami,5.0 out of 5 stars,Very good watch worth buying,Rose Gold Mesh,16 October 2025,Beautiful watch,5.0,2025-10-16,en,very good watch worth buying,"['very', 'good', 'watch', 'worth', 'buying']",5,['very good watch worth buying'],1,"['good', 'watch', 'worth', 'buying']","['good', 'watch', 'worth', 'buying']",good watch worth buying
Ishu,5.0 out of 5 stars,Nice product,Wine_Red,17 October 2025,Nice,5.0,2025-10-17,ro,nice product,"['nice', 'product']",2,['nice product'],1,"['nice', 'product']","['nice', 'product']",nice product
Amazon User,5.0 out of 5 stars,Nice product. Value for money. Best brand in smart watches.,Jet Black,10 October 2025,Value for money.,5.0,2025-10-10,en,nice product. value for money. best brand in smart watches.,"['nice', 'product', '.', 'value', 'for', 'money', '.', 'best', 'brand', 'in', 'smart', 'watches', '.']",13,"['nice product.', 'value for money.', 'best brand in smart watches.']",3,"['nice', 'product', '.', 'value', 'money', '.', 'best', 'brand', 'smart', 'watches', '.']","['nice', 'product', '.', 'value', 'money', '.', 'best', 'brand', 'smart', 'watch', '.']",nice product . value money . best brand smart watch .
Karthikeyan Nadadur,4.0 out of 5 stars,Chrger wire jas problem,Rose Gold,22 July 2025,Charger wire hs problem,4.0,2025-07-22,en,chrger wire jas problem,"['chrger', 'wire', 'jas', 'problem']",4,['chrger wire jas problem'],1,"['chrger', 'wire', 'jas', 'problem']","['chrger', 'wire', 'jas', 'problem']",chrger wire jas problem
Joyanta Kumar Das,5.0 out of 5 stars,Very nice watch. After long time the colours on metals are as shinny as new,Rose Gold Mesh,5 October 2025,Fastrack is best,5.0,2025-10-05,en,very nice watch. after long time the colours on metals are as shinny as new,"['very', 'nice', 'watch', '.', 'after', 'long', 'time', 'the', 'colours', 'on', 'metals', 'are', 'as', 'shinny', 'as', 'new']",16,"['very nice watch.', 'after long time the colours on metals are as shinny as new']",2,"['nice', 'watch', '.', 'long', 'time', 'colours', 'metals', 'shinny', 'new']","['nice', 'watch', '.', 'long', 'time', 'colour', 'metal', 'shinny', 'new']",nice watch . long time colour metal shinny new
abhey singh,3.0 out of 5 stars,Why did you pick this product vs others?:Watch is good and ok.But box I received it in was not sealed.seal was already broken.Although watch is new only so I accepted and did not raise any issue regarding product as I was in mumbai for that day only..No damage was found.It hurts little bit to know that same watch may have been sent to someone first and then they sent the same one to me when that person returned it back.,BLACK,10 July 2025,Broken seal,3.0,2025-07-10,en,why did you pick this product vs others?watch is good and ok.but box i received it in was not sealed.seal was already broken.although watch is new only so i accepted and did not raise any issue regarding product as i was in mumbai for that day only..no damage was found.it hurts little bit to know that same watch may have been sent to someone first and then they sent the same one to me when that person returned it back.,"['why', 'did', 'you', 'pick', 'this', 'product', 'vs', 'others', '?', 'watch', 'is', 'good', 'and', 'ok.but', 'box', 'i', 'received', 'it', 'in', 'was', 'not', 'sealed.seal', 'was', 'already', 'broken.although', 'watch', 'is', 'new', 'only', 'so', 'i', 'accepted', 'and', 'did', 'not', 'raise', 'any', 'issue', 'regarding', 'product', 'as', 'i', 'was', 'in', 'mumbai', 'for', 'that', 'day', 'only', '..', 'no', 'damage', 'was', 'found.it', 'hurts', 'little', 'bit', 'to', 'know', 'that', 'same', 'watch', 'may', 'have', 'been', 'sent', 'to', 'someone', 'first', 'and', 'then', 'they', 'sent', 'the', 'same', 'one', 'to', 'me', 'when', 'that', 'person', 'returned', 'it', 'back', '.']",85,['why did you pick this product vs others?watch is good and ok.but box i received it in was not sealed.seal was already broken.although watch is new only so i accepted and did not raise any issue regarding product as i was in mumbai for that day only..no damage was found.it hurts little bit to know that same watch may have been sent to someone first and then they sent the same one to me when that person returned it back.'],1,"['pick', 'product', 'vs', 'others', '?', 'watch', 'good', 'ok.but', 'box', 'received', 'sealed.seal', 'already', 'broken.although', 'watch', 'new', 'accepted', 'raise', 'issue', 'regarding', 'product', 'mumbai', 'day', '..', 'damage', 'found.it', 'hurts', 'little', 'bit', 'know', 'watch', 'may', 'sent', 'someone', 'first', 'sent', 'one', 'person', 'returned', 'back', '.']","['pick', 'product', 'v', 'others', '?', 'watch', 'good', 'ok.but', 'box', 'received', 'sealed.seal', 'already', 'broken.although', 'watch', 'new', 'accepted', 'raise', 'issue', 'regarding', 'product', 'mumbai', 'day', '..', 'damage', 'found.it', 'hurt', 'little', 'bit', 'know', 'watch', 'may', 'sent', 'someone', 'first', 'sent', 'one', 'person', 'returned', 'back', '.']",pick product v others ? watch good ok.but box received sealed.seal already broken.although watch new accepted raise issue regarding product mumbai day .. damage found.it hurt little bit know watch may sent someone first sent one person returned back .
Vishalkurkure,4.0 out of 5 stars,watch is comfortable good quality and colour,BLUE,17 July 2025,Good,4.0,2025-07-17,en,watch is comfortable good quality and colour,"['watch', 'is', 'comfortable', 'good', 'quality', 'and', 'colour']",7,['watch is comfortable good quality and colour'],1,"['watch', 'comfortable', 'good', 'quality', 'colour']","['watch', 'comfortable', 'good', 'quality', 'colour']",watch comfortable good quality colour
Sumit Swami,5.0 out of 5 stars,Very Good Stylish Watch,Black_Metal,12 October 2025,Super,5.0,2025-10-12,en,very good stylish watch,"['very', 'good', 'stylish', 'watch']",4,['very good stylish watch'],1,"['good', 'stylish', 'watch']","['good', 'stylish', 'watch']",good stylish watch
Babita,5.0 out of 5 stars,Very nice 👍,Wine Red,12 October 2025,Quality and colour very good 👍♥️♥️,5.0,2025-10-12,cs,very nice,"['very', 'nice']",2,['very nice'],1,['nice'],['nice'],nice
SYED ABDUL JAMAAL,5.0 out of 5 stars,It's a very good product 😊,Silver Metal,9 October 2025,Very good product,5.0,2025-10-09,en,its a very good product,"['its', 'a', 'very', 'good', 'product']",5,['its a very good product'],1,"['good', 'product']","['good', 'product']",good product
Jaiswal parwati,5.0 out of 5 stars,Very very very nice,Black_Metal,11 October 2025,Bhot achcha,5.0,2025-10-11,cs,very very very nice,"['very', 'very', 'very', 'nice']",4,['very very very nice'],1,['nice'],['nice'],nice
