name,rating,review,colour,date,title,rating_score,date_parsed,language,cleaned_text,tokens,token_count,sentences,sentence_count,tokens_no_stopwords,lemmatized_tokens,lemmatized_text,pos_tags,entities,product_features,vader_neg,vader_neu,vader_pos,vader_compound,vader_sentiment,sentiment_label,dominant_topic,topic_score,review_summary_textrank,review_summary_tfidf
Simrah,5.0 out of 5 stars,Very nice watchIf one is looking for a smartwatch this is the one I would recommend,Charcoal Black,27 October 2025,It’s quality is amazing,5.0,2025-10-27,en,very nice watchif one is looking for a smartwatch this is the one i would recommend,"['very', 'nice', 'watchif', 'one', 'is', 'looking', 'for', 'a', 'smartwatch', 'this', 'is', 'the', 'one', 'i', 'would', 'recommend']",16,['very nice watchif one is looking for a smartwatch this is the one i would recommend'],1,"['nice', 'watchif', 'one', 'looking', 'smartwatch', 'one', 'would', 'recommend']","['nice', 'watchif', 'one', 'looking', 'smartwatch', 'one', 'would', 'recommend']",nice watchif one looking smartwatch one would recommend,"[('very', 'RB'), ('nice', 'JJ'), ('watchif', 'NN'), ('one', 'CD'), ('is', 'VBZ'), ('looking', 'VBG'), ('for', 'IN'), ('a', 'DT'), ('smartwatch', 'NN'), ('this', 'DT'), ('is', 'VBZ'), ('the', 'DT'), ('one', 'NN'), ('i', 'NN'), ('would', 'MD'), ('recommend', 'VB')]",[],[],0.0,0.682,0.318,0.6801,positive,2,1,0.9188596650446456,very nice watchif one is looking for a smartwatch this is the one i would recommend,very nice watchif one is looking for a smartwatch this is the one i would recommend
Prashant,4.0 out of 5 stars,Good in this price range,Teal_RoseGold,22 August 2025,Value for money,4.0,2025-08-22,en,good in this price range,"['good', 'in', 'this', 'price', 'range']",5,['good in this price range'],1,"['good', 'price', 'range']","['good', 'price', 'range']",good price range,"[('good', 'JJ'), ('in', 'IN'), ('this', 'DT'), ('price', 'NN'), ('range', 'NN')]",[],"[{'feature': 'price', 'context_before': 'this', 'context_after': 'range', 'position': 3}]",0.0,0.58,0.42,0.4404,positive,2,0,0.6251664634075619,good in this price range,good in this price range
s. iyappan,4.0 out of 5 stars,Good product my son like this product c,BLUE,19 August 2025,Good,4.0,2025-08-19,en,good product my son like this product c,"['good', 'product', 'my', 'son', 'like', 'this', 'product', 'c']",8,['good product my son like this product c'],1,"['good', 'product', 'son', 'like', 'product', 'c']","['good', 'product', 'son', 'like', 'product', 'c']",good product son like product c,"[('good', 'JJ'), ('product', 'NN'), ('my', 'PRP$'), ('son', 'NN'), ('like', 'IN'), ('this', 'DT'), ('product', 'NN'), ('c', 'NN')]",[],[],0.0,0.481,0.519,0.6597,positive,2,0,0.8772262484113261,good product my son like this product c,good product my son like this product c
KM GEORGE,5.0 out of 5 stars,"Nice watch . For those who are having small wrist ,small size ie 1.83'' like that can be purchased.",Charcoal Black,26 October 2025,Good digital watch.,5.0,2025-10-26,en,"nice watch . for those who are having small wrist ,small size ie 1.83 like that can be purchased.","['nice', 'watch', '.', 'for', 'those', 'who', 'are', 'having', 'small', 'wrist', ',', 'small', 'size', 'ie', '1.83', 'like', 'that', 'can', 'be', 'purchased', '.']",21,"['nice watch .', 'for those who are having small wrist ,small size ie 1.83 like that can be purchased.']",2,"['nice', 'watch', '.', 'small', 'wrist', ',', 'small', 'size', 'ie', '1.83', 'like', 'purchased', '.']","['nice', 'watch', '.', 'small', 'wrist', ',', 'small', 'size', 'ie', '1.83', 'like', 'purchased', '.']","nice watch . small wrist , small size ie 1.83 like purchased .","[('nice', 'JJ'), ('watch', 'NN'), ('.', '.'), ('for', 'IN'), ('those', 'DT'), ('who', 'WP'), ('are', 'VBP'), ('having', 'VBG'), ('small', 'JJ'), ('wrist', 'NN'), (',', ','), ('small', 'JJ'), ('size', 'NN'), ('ie', 'JJ'), ('1.83', 'CD'), ('like', 'IN'), ('that', 'DT'), ('can', 'MD'), ('be', 'VB'), ('purchased', 'VBN'), ('.', '.')]",[],"[{'feature': 'size', 'context_before': 'small', 'context_after': 'ie', 'position': 12}]",0.0,0.751,0.249,0.6486,positive,2,1,0.6801670403670622,"nice watch . for those who are having small wrist ,small size ie 1.83 like that can be purchased.","nice watch . for those who are having small wrist ,small size ie 1.83 like that can be purchased."
Dileep,5.0 out of 5 stars,Very good product,Beige,6 November 2025,Good product,5.0,2025-11-06,en,very good product,"['very', 'good', 'product']",3,['very good product'],1,"['good', 'product']","['good', 'product']",good product,"[('very', 'RB'), ('good', 'JJ'), ('product', 'NN')]",[],[],0.0,0.385,0.615,0.4927,positive,2,0,0.8760384901175113,very good product,very good product
G shares,3.0 out of 5 stars,Decent product. Does its work.It doesn't feel premium neither cheap. Does exact for the price paid.I would recommend if its the maximum budget you have to buy a smart watch,Charcoal Black,17 September 2025,Average product for average price,3.0,2025-09-17,en,decent product. does its work.it doesnt feel premium neither cheap. does exact for the price paid.i would recommend if its the maximum budget you have to buy a smart watch,"['decent', 'product', '.', 'does', 'its', 'work.it', 'doesnt', 'feel', 'premium', 'neither', 'cheap', '.', 'does', 'exact', 'for', 'the', 'price', 'paid.i', 'would', 'recommend', 'if', 'its', 'the', 'maximum', 'budget', 'you', 'have', 'to', 'buy', 'a', 'smart', 'watch']",32,"['decent product.', 'does its work.it doesnt feel premium neither cheap.', 'does exact for the price paid.i would recommend if its the maximum budget you have to buy a smart watch']",3,"['decent', 'product', '.', 'work.it', 'doesnt', 'feel', 'premium', 'neither', 'cheap', '.', 'exact', 'price', 'paid.i', 'would', 'recommend', 'maximum', 'budget', 'buy', 'smart', 'watch']","['decent', 'product', '.', 'work.it', 'doesnt', 'feel', 'premium', 'neither', 'cheap', '.', 'exact', 'price', 'paid.i', 'would', 'recommend', 'maximum', 'budget', 'buy', 'smart', 'watch']",decent product . work.it doesnt feel premium neither cheap . exact price paid.i would recommend maximum budget buy smart watch,"[('decent', 'JJ'), ('product', 'NN'), ('.', '.'), ('does', 'VBZ'), ('its', 'PRP$'), ('work.it', 'NN'), ('doesnt', 'NN'), ('feel', 'NN'), ('premium', 'NN'), ('neither', 'DT'), ('cheap', 'JJ'), ('.', '.'), ('does', 'VBZ'), ('exact', 'VB'), ('for', 'IN'), ('the', 'DT'), ('price', 'NN'), ('paid.i', 'NN'), ('would', 'MD'), ('recommend', 'VB'), ('if', 'IN'), ('its', 'PRP$'), ('the', 'DT'), ('maximum', 'JJ'), ('budget', 'NN'), ('you', 'PRP'), ('have', 'VBP'), ('to', 'TO'), ('buy', 'VB'), ('a', 'DT'), ('smart', 'JJ'), ('watch', 'NN')]",[],"[{'feature': 'price', 'context_before': 'the', 'context_after': 'paid.i', 'position': 16}]",0.0,0.839,0.161,0.6369,positive,1,0,0.6892727861195167,does its work.it doesnt feel premium neither cheap. does exact for the price paid.i would recommend if its the maximum budget you have to buy a smart watch,decent product. does its work.it doesnt feel premium neither cheap.
Nithya devi Natarajan,5.0 out of 5 stars,Nice fully satisfied,Black_Metal,5 November 2025,Good,5.0,2025-11-05,en,nice fully satisfied,"['nice', 'fully', 'satisfied']",3,['nice fully satisfied'],1,"['nice', 'fully', 'satisfied']","['nice', 'fully', 'satisfied']",nice fully satisfied,"[('nice', 'JJ'), ('fully', 'RB'), ('satisfied', 'VBD')]",[],[],0.0,0.145,0.855,0.7089,positive,2,1,0.9295713486718816,nice fully satisfied,nice fully satisfied
Kinnary Dwarkesh,4.0 out of 5 stars,"Connectivity is weak, gets disconnected easily. I purchased it to track swimming, which claimed as one of the sports mode, but it does not. Overall if you are look for style and basic fuctions then its nice.",Teal Green,31 July 2025,Good,4.0,2025-07-31,en,"connectivity is weak, gets disconnected easily. i purchased it to track swimming, which claimed as one of the sports mode, but it does not. overall if you are look for style and basic fuctions then its nice.","['connectivity', 'is', 'weak', ',', 'gets', 'disconnected', 'easily', '.', 'i', 'purchased', 'it', 'to', 'track', 'swimming', ',', 'which', 'claimed', 'as', 'one', 'of', 'the', 'sports', 'mode', ',', 'but', 'it', 'does', 'not', '.', 'overall', 'if', 'you', 'are', 'look', 'for', 'style', 'and', 'basic', 'fuctions', 'then', 'its', 'nice', '.']",43,"['connectivity is weak, gets disconnected easily.', 'i purchased it to track swimming, which claimed as one of the sports mode, but it does not.', 'overall if you are look for style and basic fuctions then its nice.']",3,"['connectivity', 'weak', ',', 'gets', 'disconnected', 'easily', '.', 'purchased', 'track', 'swimming', ',', 'claimed', 'one', 'sports', 'mode', ',', '.', 'overall', 'look', 'style', 'basic', 'fuctions', 'nice', '.']","['connectivity', 'weak', ',', 'get', 'disconnected', 'easily', '.', 'purchased', 'track', 'swimming', ',', 'claimed', 'one', 'sport', 'mode', ',', '.', 'overall', 'look', 'style', 'basic', 'fuctions', 'nice', '.']","connectivity weak , get disconnected easily . purchased track swimming , claimed one sport mode , . overall look style basic fuctions nice .","[('connectivity', 'NN'), ('is', 'VBZ'), ('weak', 'JJ'), (',', ','), ('gets', 'VBZ'), ('disconnected', 'VBN'), ('easily', 'RB'), ('.', '.'), ('i', 'NN'), ('purchased', 'VBD'), ('it', 'PRP'), ('to', 'TO'), ('track', 'VB'), ('swimming', 'NN'), (',', ','), ('which', 'WDT'), ('claimed', 'VBD'), ('as', 'IN'), ('one', 'CD'), ('of', 'IN'), ('the', 'DT'), ('sports', 'NNS'), ('mode', 'NN'), (',', ','), ('but', 'CC'), ('it', 'PRP'), ('does', 'VBZ'), ('not', 'RB'), ('.', '.'), ('overall', 'JJ'), ('if', 'IN'), ('you', 'PRP'), ('are', 'VBP'), ('look', 'VB'), ('for', 'IN'), ('style', 'NN'), ('and', 'CC'), ('basic', 'JJ'), ('fuctions', 'NNS'), ('then', 'RB'), ('its', 'PRP$'), ('nice', 'NN'), ('.', '.')]",[],[],0.048,0.818,0.134,0.5346,positive,2,1,0.8610217662726134,"i purchased it to track swimming, which claimed as one of the sports mode, but it does not. overall if you are look for style and basic fuctions then its nice.","connectivity is weak, gets disconnected easily. overall if you are look for style and basic fuctions then its nice."
Savita Sutar,5.0 out of 5 stars,Product is very good 👍👍👍,Blue,2 November 2025,Best,5.0,2025-11-02,en,product is very good,"['product', 'is', 'very', 'good']",4,['product is very good'],1,"['product', 'good']","['product', 'good']",product good,"[('product', 'NN'), ('is', 'VBZ'), ('very', 'RB'), ('good', 'JJ')]",[],[],0.0,0.484,0.516,0.4927,positive,2,0,0.9251433825726504,product is very good,product is very good
Krishnamurthy,4.0 out of 5 stars,"Not getting whatsapp or sms notification when paired with iphoneElse look wise am liking it alotWith such a nice old display, video player is missing feature in this.",Black_Metal,1 August 2025,Good watch with lot of scope for improvement,4.0,2025-08-01,en,"not getting whatsapp or sms notification when paired with iphoneelse look wise am liking it alotwith such a nice old display, video player is missing feature in this.","['not', 'getting', 'whatsapp', 'or', 'sms', 'notification', 'when', 'paired', 'with', 'iphoneelse', 'look', 'wise', 'am', 'liking', 'it', 'alotwith', 'such', 'a', 'nice', 'old', 'display', ',', 'video', 'player', 'is', 'missing', 'feature', 'in', 'this', '.']",30,"['not getting whatsapp or sms notification when paired with iphoneelse look wise am liking it alotwith such a nice old display, video player is missing feature in this.']",1,"['getting', 'whatsapp', 'sms', 'notification', 'paired', 'iphoneelse', 'look', 'wise', 'liking', 'alotwith', 'nice', 'old', 'display', ',', 'video', 'player', 'missing', 'feature', '.']","['getting', 'whatsapp', 'sm', 'notification', 'paired', 'iphoneelse', 'look', 'wise', 'liking', 'alotwith', 'nice', 'old', 'display', ',', 'video', 'player', 'missing', 'feature', '.']","getting whatsapp sm notification paired iphoneelse look wise liking alotwith nice old display , video player missing feature .","[('not', 'RB'), ('getting', 'VBG'), ('whatsapp', 'NN'), ('or', 'CC'), ('sms', 'JJ'), ('notification', 'NN'), ('when', 'WRB'), ('paired', 'VBN'), ('with', 'IN'), ('iphoneelse', 'JJ'), ('look', 'NN'), ('wise', 'WP'), ('am', 'VBP'), ('liking', 'VBG'), ('it', 'PRP'), ('alotwith', 'VBZ'), ('such', 'PDT'), ('a', 'DT'), ('nice', 'JJ'), ('old', 'JJ'), ('display', 'NN'), (',', ','), ('video', 'NN'), ('player', 'NN'), ('is', 'VBZ'), ('missing', 'VBG'), ('feature', 'NN'), ('in', 'IN'), ('this', 'DT'), ('.', '.')]",[],"[{'feature': 'display', 'context_before': 'old', 'context_after': ',', 'position': 20}]",0.065,0.68,0.254,0.7506,positive,2,1,0.8247369006660115,"not getting whatsapp or sms notification when paired with iphoneelse look wise am liking it alotwith such a nice old display, video player is missing feature in this.","not getting whatsapp or sms notification when paired with iphoneelse look wise am liking it alotwith such a nice old display, video player is missing feature in this."
Abhijot Dharwal,5.0 out of 5 stars,acha ha,Jet Black,4 November 2025,,5.0,2025-11-04,sw,acha ha,"['acha', 'ha']",2,['acha ha'],1,"['acha', 'ha']","['acha', 'ha']",acha ha,"[('acha', 'NN'), ('ha', 'NN')]",[],[],0.0,0.294,0.706,0.34,positive,2,0,0.0,acha ha,acha ha
Shaikhasanuddin,5.0 out of 5 stars,Good product good quality good serves,Rose Gold Mesh,2 November 2025,Good amazon,5.0,2025-11-02,en,good product good quality good serves,"['good', 'product', 'good', 'quality', 'good', 'serves']",6,['good product good quality good serves'],1,"['good', 'product', 'good', 'quality', 'good', 'serves']","['good', 'product', 'good', 'quality', 'good', 'serf']",good product good quality good serf,"[('good', 'JJ'), ('product', 'NN'), ('good', 'JJ'), ('quality', 'NN'), ('good', 'JJ'), ('serves', 'NNS')]",[],"[{'feature': 'quality', 'context_before': 'good', 'context_after': 'good', 'position': 3}]",0.0,0.256,0.744,0.8271,positive,2,0,0.921409893534372,good product good quality good serves,good product good quality good serves
Anbarasan,5.0 out of 5 stars,Worst it's not working after some days,Carbon Black,29 October 2025,Worst it's not working after some days,5.0,2025-10-29,en,worst its not working after some days,"['worst', 'its', 'not', 'working', 'after', 'some', 'days']",7,['worst its not working after some days'],1,"['worst', 'working', 'days']","['worst', 'working', 'day']",worst working day,"[('worst', 'VB'), ('its', 'PRP$'), ('not', 'RB'), ('working', 'VBG'), ('after', 'IN'), ('some', 'DT'), ('days', 'NNS')]",[],[],0.406,0.594,0.0,-0.6249,negative,2,4,0.7000751193700981,worst its not working after some days,worst its not working after some days
Yesh,4.0 out of 5 stars,"Nice, value for money",Teal Green,19 August 2025,Nice,4.0,2025-08-19,en,"nice, value for money","['nice', ',', 'value', 'for', 'money']",5,"['nice, value for money']",1,"['nice', ',', 'value', 'money']","['nice', ',', 'value', 'money']","nice , value money","[('nice', 'RB'), (',', ','), ('value', 'NN'), ('for', 'IN'), ('money', 'NN')]",[],[],0.0,0.278,0.722,0.6369,positive,2,4,0.8288655279640412,"nice, value for money","nice, value for money"
Prasad shetty,3.0 out of 5 stars,Heart rate monitor stopped working after a week of purchase,Rose_Gold,23 September 2025,Sensor not working,3.0,2025-09-23,en,heart rate monitor stopped working after a week of purchase,"['heart', 'rate', 'monitor', 'stopped', 'working', 'after', 'a', 'week', 'of', 'purchase']",10,['heart rate monitor stopped working after a week of purchase'],1,"['heart', 'rate', 'monitor', 'stopped', 'working', 'week', 'purchase']","['heart', 'rate', 'monitor', 'stopped', 'working', 'week', 'purchase']",heart rate monitor stopped working week purchase,"[('heart', 'NN'), ('rate', 'NN'), ('monitor', 'NN'), ('stopped', 'VBD'), ('working', 'VBG'), ('after', 'IN'), ('a', 'DT'), ('week', 'NN'), ('of', 'IN'), ('purchase', 'NN')]",[],[],0.192,0.808,0.0,-0.2263,negative,1,4,0.6374894110119117,heart rate monitor stopped working after a week of purchase,heart rate monitor stopped working after a week of purchase
Md Mohin,5.0 out of 5 stars,Great product Love it,Dark Teal,30 October 2025,Fastrack revoltt fs1 pro vs fastrack revoltt fs2 pro was no difference fs2 is better,5.0,2025-10-30,en,great product love it,"['great', 'product', 'love', 'it']",4,['great product love it'],1,"['great', 'product', 'love']","['great', 'product', 'love']",great product love,"[('great', 'JJ'), ('product', 'NN'), ('love', 'VB'), ('it', 'PRP')]",[],[],0.0,0.194,0.806,0.8519,positive,2,0,0.7116937702776341,great product love it,great product love it
Krishan murari,5.0 out of 5 stars,Nice watch,Silver Metal,31 October 2025,10,5.0,2025-10-31,en,nice watch,"['nice', 'watch']",2,['nice watch'],1,"['nice', 'watch']","['nice', 'watch']",nice watch,"[('nice', 'JJ'), ('watch', 'NN')]",[],[],0.0,0.263,0.737,0.4215,positive,2,1,0.7802650706439366,nice watch,nice watch
wajid,5.0 out of 5 stars,Awesome product 🥰,Black_Metal,30 October 2025,Special gift,5.0,2025-10-30,en,awesome product,"['awesome', 'product']",2,['awesome product'],1,"['awesome', 'product']","['awesome', 'product']",awesome product,"[('awesome', 'JJ'), ('product', 'NN')]",[],[],0.0,0.196,0.804,0.6249,positive,2,0,0.7820710634136279,awesome product,awesome product
KK Nair,5.0 out of 5 stars,Nice watch from Fastrack... My niece loves it.,Black_Metal,5 November 2025,Astor FR2 Pro,5.0,2025-11-05,en,nice watch from fastrack... my niece loves it.,"['nice', 'watch', 'from', 'fastrack', '...', 'my', 'niece', 'loves', 'it', '.']",10,['nice watch from fastrack... my niece loves it.'],1,"['nice', 'watch', 'fastrack', '...', 'niece', 'loves', '.']","['nice', 'watch', 'fastrack', '...', 'niece', 'love', '.']",nice watch fastrack ... niece love .,"[('nice', 'JJ'), ('watch', 'NN'), ('from', 'IN'), ('fastrack', 'NN'), ('...', ':'), ('my', 'PRP$'), ('niece', 'JJ'), ('loves', 'VBZ'), ('it', 'PRP'), ('.', '.')]",[],[],0.0,0.48,0.52,0.7579,positive,2,1,0.7026963985174237,nice watch from fastrack... my niece loves it.,nice watch from fastrack... my niece loves it.
almas farheen,5.0 out of 5 stars,"Stylish , nice design",Black_Metal,27 October 2025,Fasttract never disappoint us one of the best product,5.0,2025-10-27,en,"stylish , nice design","['stylish', ',', 'nice', 'design']",4,"['stylish , nice design']",1,"['stylish', ',', 'nice', 'design']","['stylish', ',', 'nice', 'design']","stylish , nice design","[('stylish', 'JJ'), (',', ','), ('nice', 'JJ'), ('design', 'NN')]",[],"[{'feature': 'design', 'context_before': 'nice', 'context_after': '', 'position': 3}]",0.0,0.417,0.583,0.4215,positive,2,1,0.9048219307920988,"stylish , nice design","stylish , nice design"
Tharakeswara,4.0 out of 5 stars,Nice and comfortable daily use,TEAL,6 August 2025,Fastrack,4.0,2025-08-06,en,nice and comfortable daily use,"['nice', 'and', 'comfortable', 'daily', 'use']",5,['nice and comfortable daily use'],1,"['nice', 'comfortable', 'daily', 'use']","['nice', 'comfortable', 'daily', 'use']",nice comfortable daily use,"[('nice', 'JJ'), ('and', 'CC'), ('comfortable', 'JJ'), ('daily', 'JJ'), ('use', 'NN')]",[],[],0.0,0.33,0.67,0.7269,positive,2,1,0.920314624921014,nice and comfortable daily use,nice and comfortable daily use
Rakesh L,5.0 out of 5 stars,Good. Value for money,Smoke,24 October 2025,Value for money,5.0,2025-10-24,en,good. value for money,"['good', '.', 'value', 'for', 'money']",5,"['good.', 'value for money']",2,"['good', '.', 'value', 'money']","['good', '.', 'value', 'money']",good . value money,"[('good', 'JJ'), ('.', '.'), ('value', 'NN'), ('for', 'IN'), ('money', 'NN')]",[],[],0.0,0.274,0.726,0.6486,positive,2,4,0.8890244296134961,good. value for money,good. value for money
Ishaan,5.0 out of 5 stars,Enjoying,Beige,26 October 2025,Satisfied,5.0,2025-10-26,no,enjoying,['enjoying'],1,['enjoying'],1,['enjoying'],['enjoying'],enjoying,"[('enjoying', 'VBG')]",[],[],0.0,0.0,1.0,0.5267,positive,2,0,0.0,enjoying,enjoying
Very nice phone case,5.0 out of 5 stars,Good watch,Smoke,25 October 2025,Good,5.0,2025-10-25,so,good watch,"['good', 'watch']",2,['good watch'],1,"['good', 'watch']","['good', 'watch']",good watch,"[('good', 'JJ'), ('watch', 'NN')]",[],[],0.0,0.256,0.744,0.4404,positive,2,2,0.7770115174177493,good watch,good watch
shaurya   jain,4.0 out of 5 stars,Appealing designSuperb lookGreat feelOnly problem i faced was pairing the app and watch but it happened finally after 1-2 resets of the watch,Teal_RoseGold,19 July 2025,Amazing product,4.0,2025-07-19,en,appealing designsuperb lookgreat feelonly problem i faced was pairing the app and watch but it happened finally after 12 resets of the watch,"['appealing', 'designsuperb', 'lookgreat', 'feelonly', 'problem', 'i', 'faced', 'was', 'pairing', 'the', 'app', 'and', 'watch', 'but', 'it', 'happened', 'finally', 'after', '12', 'resets', 'of', 'the', 'watch']",23,['appealing designsuperb lookgreat feelonly problem i faced was pairing the app and watch but it happened finally after 12 resets of the watch'],1,"['appealing', 'designsuperb', 'lookgreat', 'feelonly', 'problem', 'faced', 'pairing', 'app', 'watch', 'happened', 'finally', '12', 'resets', 'watch']","['appealing', 'designsuperb', 'lookgreat', 'feelonly', 'problem', 'faced', 'pairing', 'app', 'watch', 'happened', 'finally', '12', 'reset', 'watch']",appealing designsuperb lookgreat feelonly problem faced pairing app watch happened finally 12 reset watch,"[('appealing', 'VBG'), ('designsuperb', 'NN'), ('lookgreat', 'NN'), ('feelonly', 'RB'), ('problem', 'NN'), ('i', 'NN'), ('faced', 'VBD'), ('was', 'VBD'), ('pairing', 'VBG'), ('the', 'DT'), ('app', 'NN'), ('and', 'CC'), ('watch', 'NN'), ('but', 'CC'), ('it', 'PRP'), ('happened', 'VBD'), ('finally', 'RB'), ('after', 'IN'), ('12', 'CD'), ('resets', 'NNS'), ('of', 'IN'), ('the', 'DT'), ('watch', 'NN')]",[],[],0.081,0.919,0.0,-0.2144,negative,2,2,0.7629715283759865,appealing designsuperb lookgreat feelonly problem i faced was pairing the app and watch but it happened finally after 12 resets of the watch,appealing designsuperb lookgreat feelonly problem i faced was pairing the app and watch but it happened finally after 12 resets of the watch
Product Edges Not Perfect Fiting..Finishing Also Not Worth..,5.0 out of 5 stars,Worth,Carbon Black,24 October 2025,Value of money,5.0,2025-10-24,en,worth,['worth'],1,['worth'],1,['worth'],['worth'],worth,"[('worth', 'NN')]",[],[],0.0,0.0,1.0,0.2263,positive,2,3,0.8765477241946782,worth,worth
amrish kumar,4.0 out of 5 stars,Its a good watch in this price. Excellent design and very easy to use. I haven't faced any charging issues yet with this watch. Its touch quality is smooth too. Good one to buy in this price range.,Dark Teal,10 July 2025,Good watch,4.0,2025-07-10,en,its a good watch in this price. excellent design and very easy to use. i havent faced any charging issues yet with this watch. its touch quality is smooth too. good one to buy in this price range.,"['its', 'a', 'good', 'watch', 'in', 'this', 'price', '.', 'excellent', 'design', 'and', 'very', 'easy', 'to', 'use', '.', 'i', 'havent', 'faced', 'any', 'charging', 'issues', 'yet', 'with', 'this', 'watch', '.', 'its', 'touch', 'quality', 'is', 'smooth', 'too', '.', 'good', 'one', 'to', 'buy', 'in', 'this', 'price', 'range', '.']",43,"['its a good watch in this price.', 'excellent design and very easy to use.', 'i havent faced any charging issues yet with this watch.', 'its touch quality is smooth too.', 'good one to buy in this price range.']",5,"['good', 'watch', 'price', '.', 'excellent', 'design', 'easy', 'use', '.', 'havent', 'faced', 'charging', 'issues', 'yet', 'watch', '.', 'touch', 'quality', 'smooth', '.', 'good', 'one', 'buy', 'price', 'range', '.']","['good', 'watch', 'price', '.', 'excellent', 'design', 'easy', 'use', '.', 'havent', 'faced', 'charging', 'issue', 'yet', 'watch', '.', 'touch', 'quality', 'smooth', '.', 'good', 'one', 'buy', 'price', 'range', '.']",good watch price . excellent design easy use . havent faced charging issue yet watch . touch quality smooth . good one buy price range .,"[('its', 'PRP$'), ('a', 'DT'), ('good', 'JJ'), ('watch', 'NN'), ('in', 'IN'), ('this', 'DT'), ('price', 'NN'), ('.', '.'), ('excellent', 'JJ'), ('design', 'NN'), ('and', 'CC'), ('very', 'RB'), ('easy', 'JJ'), ('to', 'TO'), ('use', 'VB'), ('.', '.'), ('i', 'JJ'), ('havent', 'NN'), ('faced', 'VBD'), ('any', 'DT'), ('charging', 'VBG'), ('issues', 'NNS'), ('yet', 'RB'), ('with', 'IN'), ('this', 'DT'), ('watch', 'NN'), ('.', '.'), ('its', 'PRP$'), ('touch', 'JJ'), ('quality', 'NN'), ('is', 'VBZ'), ('smooth', 'JJ'), ('too', 'RB'), ('.', '.'), ('good', 'JJ'), ('one', 'CD'), ('to', 'TO'), ('buy', 'VB'), ('in', 'IN'), ('this', 'DT'), ('price', 'NN'), ('range', 'NN'), ('.', '.')]",[],"[{'feature': 'price', 'context_before': 'this', 'context_after': '.', 'position': 6}, {'feature': 'design', 'context_before': 'excellent', 'context_after': 'and', 'position': 9}, {'feature': 'charging', 'context_before': 'any', 'context_after': 'issues', 'position': 20}, {'feature': 'quality', 'context_before': 'touch', 'context_after': 'is', 'position': 29}, {'feature': 'price', 'context_before': 'this', 'context_after': 'range', 'position': 40}]",0.0,0.716,0.284,0.9134,positive,2,2,0.7966733673787271,its a good watch in this price. its touch quality is smooth too.,its a good watch in this price. good one to buy in this price range.
ambedkar pradhan,5.0 out of 5 stars,Excellent,Black Mesh,22 October 2025,Excellent,5.0,2025-10-22,ca,excellent,['excellent'],1,['excellent'],1,['excellent'],['excellent'],excellent,"[('excellent', 'NN')]",[],[],0.0,0.0,1.0,0.5719,positive,2,2,0.7725783476912929,excellent,excellent
jitendra uchil,5.0 out of 5 stars,"As per my expectations,",Silver,29 October 2025,Good choice,5.0,2025-10-29,en,"as per my expectations,","['as', 'per', 'my', 'expectations', ',']",5,"['as per my expectations,']",1,"['per', 'expectations', ',']","['per', 'expectation', ',']","per expectation ,","[('as', 'IN'), ('per', 'IN'), ('my', 'PRP$'), ('expectations', 'NNS'), (',', ',')]",[],[],0.0,1.0,0.0,0.0,neutral,2,0,0.0,"as per my expectations,","as per my expectations,"
Suresh G,5.0 out of 5 stars,"Battery goodPower saving mode goodGPS not availableIn metal strap more waitIn packing to be add the Silicon StrapHeart rate, SpO2 not working properly",Black_Metal,9 October 2025,Product is good,5.0,2025-10-09,en,"battery goodpower saving mode goodgps not availablein metal strap more waitin packing to be add the silicon strapheart rate, spo2 not working properly","['battery', 'goodpower', 'saving', 'mode', 'goodgps', 'not', 'availablein', 'metal', 'strap', 'more', 'waitin', 'packing', 'to', 'be', 'add', 'the', 'silicon', 'strapheart', 'rate', ',', 'spo2', 'not', 'working', 'properly']",24,"['battery goodpower saving mode goodgps not availablein metal strap more waitin packing to be add the silicon strapheart rate, spo2 not working properly']",1,"['battery', 'goodpower', 'saving', 'mode', 'goodgps', 'availablein', 'metal', 'strap', 'waitin', 'packing', 'add', 'silicon', 'strapheart', 'rate', ',', 'spo2', 'working', 'properly']","['battery', 'goodpower', 'saving', 'mode', 'goodgps', 'availablein', 'metal', 'strap', 'waitin', 'packing', 'add', 'silicon', 'strapheart', 'rate', ',', 'spo2', 'working', 'properly']","battery goodpower saving mode goodgps availablein metal strap waitin packing add silicon strapheart rate , spo2 working properly","[('battery', 'NN'), ('goodpower', 'NN'), ('saving', 'VBG'), ('mode', 'NN'), ('goodgps', 'NN'), ('not', 'RB'), ('availablein', 'JJ'), ('metal', 'NN'), ('strap', 'NN'), ('more', 'RBR'), ('waitin', 'JJ'), ('packing', 'NN'), ('to', 'TO'), ('be', 'VB'), ('add', 'VB'), ('the', 'DT'), ('silicon', 'JJ'), ('strapheart', 'NN'), ('rate', 'NN'), (',', ','), ('spo2', 'VBZ'), ('not', 'RB'), ('working', 'VBG'), ('properly', 'RB')]",[],"[{'feature': 'battery', 'context_before': '', 'context_after': 'goodpower', 'position': 0}]",0.0,1.0,0.0,0.0,neutral,2,2,0.8298812361725018,"battery goodpower saving mode goodgps not availablein metal strap more waitin packing to be add the silicon strapheart rate, spo2 not working properly","battery goodpower saving mode goodgps not availablein metal strap more waitin packing to be add the silicon strapheart rate, spo2 not working properly"
